card_id	issuer_id	cobrand_partner	display_name	tier	network	lifecycle_status	mapping_status	annual_fee_mxn	annual_fee_includes_iva	annual_fee_first_year_waived	interest_rate_annual_pct	cat_promedio_pct	base_reward_type	base_reward_rate	point_value_mxn	effective_rate_pct	min_income_mxn_monthly	invitation_only	notes	conf_identity	conf_cost	conf_rewards	conf_perks	conf_eligibility
banco_del_bajio__visa_clasica_internacional	banco_del_bajio		Tarjeta de Crédito Visa Clásica Internacional	UNKNOWN	UNKNOWN	active	skeleton																	
banco_del_bajio__visa_oro_internacional	banco_del_bajio		Tarjeta de Crédito Visa Oro Internacional	UNKNOWN	UNKNOWN	active	skeleton																	
banco_del_bajio__visa_platinum_internacional	banco_del_bajio		Tarjeta de Crédito Visa Platinum Internacional	UNKNOWN	UNKNOWN	active	skeleton																	
hey_banco__hey_garantia	hey_banco		Tarjeta de Crédito Hey Garantía	UNKNOWN	UNKNOWN	active	skeleton																	
hey_banco__hey_personal	hey_banco		Tarjeta de Crédito Hey Personal	UNKNOWN	UNKNOWN	active	skeleton																	
uala_mx__tarjeta_de_credito_uala	uala_mx		Tarjeta de Crédito Ualá	sin anualidad	mastercard	active	mapped	0	UNKNOWN	UNKNOWN	111.66	UNKNOWN	cashback	UNKNOWN	1.0	UNKNOWN	UNKNOWN	FALSE	Banca múltiple; MSI available	high	medium	low	high	high
uala_mx__con_garantia	uala_mx		Tarjeta de Crédito Ualá con Garantía	UNKNOWN	UNKNOWN	active	skeleton																	
banco_azteca__elektra	banco_azteca	elektra	Tarjeta de Crédito Elektra	UNKNOWN	UNKNOWN	active	skeleton																	
plata__plata	plata		Tarjeta de Crédito Plata	cashback	mastercard	active	mapped	199	FALSE	UNKNOWN	99.9	164.22	cashback	0.5	1.0	0.5	4000	FALSE	Bank since Feb 2026; Plata Plus membership $39/mo	high	medium	medium	high	high
banorte__rappicard	banorte	rappi	RappiCard	UNKNOWN	UNKNOWN	active	skeleton																	
